2021 super output area - middle layer,mnemonic,population density
Leeds 001,E02002330,2073.3
Leeds 002,E02002331,341.8
Leeds 003,E02002332,2243
Leeds 004,E02002333,871.5
Leeds 005,E02002334,300
Leeds 006,E02002335,144.5
Leeds 007,E02002336,242.9
Leeds 008,E02002337,519
Leeds 009,E02002338,3424.4
Leeds 010,E02002339,3996.5
Leeds 011,E02002340,2693.7
Leeds 012,E02002341,554.3
Leeds 013,E02002342,2005.4
Leeds 014,E02002343,2076.4
Leeds 015,E02002344,4175.1
Leeds 016,E02002345,1166.4
Leeds 017,E02002346,4173.2
Leeds 018,E02002347,3501.1
Leeds 019,E02002348,2741.1
Leeds 020,E02002349,1268.6
Leeds 021,E02002350,1691.9
Leeds 022,E02002351,331.9
Leeds 023,E02002352,4832.3
Leeds 024,E02002353,4829
Leeds 025,E02002354,4116.6
Leeds 027,E02002356,1587.4
Leeds 028,E02002357,4735.2
Leeds 029,E02002358,2923.3
Leeds 030,E02002359,144.3
Leeds 031,E02002360,4221.2
Leeds 032,E02002361,3156.3
Leeds 033,E02002362,3160.2
Leeds 034,E02002363,4961.9
Leeds 035,E02002364,3744.2
Leeds 037,E02002366,3644.3
Leeds 038,E02002367,3588.5
Leeds 039,E02002368,1101.2
Leeds 040,E02002369,4660.3
Leeds 041,E02002370,3655.8
Leeds 042,E02002371,5972.3
Leeds 044,E02002373,9826.7
Leeds 045,E02002374,4121.9
Leeds 046,E02002375,2690.5
Leeds 047,E02002376,7067.9
Leeds 048,E02002377,14762.2
Leeds 050,E02002379,4801.4
Leeds 051,E02002380,4073.4
Leeds 052,E02002381,2916.5
Leeds 053,E02002382,15257.5
Leeds 054,E02002383,19894.8
Leeds 055,E02002384,6383.6
Leeds 056,E02002385,6313.6
Leeds 057,E02002386,1311.2
Leeds 058,E02002387,5137.8
Leeds 059,E02002388,4497.2
Leeds 060,E02002389,3787.3
Leeds 061,E02002390,3984.9
Leeds 062,E02002391,3662.8
Leeds 063,E02002392,7503.4
Leeds 064,E02002393,6448.3
Leeds 065,E02002394,7108.2
Leeds 066,E02002395,2535.2
Leeds 067,E02002396,4320.6
Leeds 068,E02002397,4208.8
Leeds 069,E02002398,940.6
Leeds 070,E02002399,1638.3
Leeds 071,E02002400,3801.2
Leeds 072,E02002401,1762.7
Leeds 073,E02002402,1367.3
Leeds 074,E02002403,2609.3
Leeds 075,E02002404,6330.7
Leeds 076,E02002405,1958.5
Leeds 077,E02002406,2859.5
Leeds 078,E02002407,4942
Leeds 079,E02002408,2629
Leeds 080,E02002409,1256.5
Leeds 081,E02002410,3275
Leeds 082,E02002411,4217.4
Leeds 083,E02002412,1469
Leeds 085,E02002414,5141.1
Leeds 086,E02002415,10946.5
Leeds 087,E02002416,451.8
Leeds 088,E02002417,292.6
Leeds 089,E02002418,2777.1
Leeds 090,E02002419,2800.5
Leeds 091,E02002420,4171.2
Leeds 092,E02002421,4589.6
Leeds 093,E02002422,2160.2
Leeds 094,E02002423,3787.5
Leeds 095,E02002424,1848
Leeds 096,E02002425,1438.9
Leeds 097,E02002426,2155.4
Leeds 098,E02002427,3539.8
Leeds 099,E02002428,2105.5
Leeds 100,E02002429,511.6
Leeds 101,E02002430,3051.4
Leeds 102,E02002431,2741.6
Leeds 103,E02002432,694.2
Leeds 104,E02002433,4453.4
Leeds 105,E02002434,1724.3
Leeds 106,E02002435,1025.8
Leeds 107,E02002436,1149.4
Leeds 108,E02002437,1183.2
Leeds 109,E02006852,2669.7
Leeds 110,E02006861,9289.3
Leeds 111,E02006875,3782.9
Leeds 112,E02006876,1512.2
Wakefield 001,E02002438,1811
Wakefield 002,E02002439,2816.9
Wakefield 003,E02002440,2927.6
Wakefield 004,E02002441,3565.7
Wakefield 005,E02002442,1883.6
Wakefield 006,E02002443,1668.5
Wakefield 007,E02002444,748.9
Wakefield 008,E02002445,2485.4
Wakefield 009,E02002446,832.7
Wakefield 010,E02002447,1141.1
Wakefield 011,E02002448,1064.8
Wakefield 012,E02002449,2186.1
Wakefield 013,E02002450,1615
Wakefield 014,E02002451,1402.2
Wakefield 015,E02002452,1203.4
Wakefield 016,E02002453,947.2
Wakefield 017,E02002454,4026.4
Wakefield 018,E02002455,2512.7
Wakefield 019,E02002456,4561.5
