2021 super output area - middle layer,mnemonic,Total,No cars or vans in household,1 or more cars or vans in household
Leeds 001,E02002330,3034,280,2754
Leeds 002,E02002331,3078,639,2439
Leeds 003,E02002332,2877,483,2394
Leeds 004,E02002333,3726,774,2952
Leeds 005,E02002334,3334,418,2916
Leeds 006,E02002335,3139,225,2914
Leeds 007,E02002336,2903,217,2686
Leeds 008,E02002337,3238,306,2932
Leeds 009,E02002338,3091,547,2544
Leeds 010,E02002339,2631,675,1956
Leeds 011,E02002340,2743,547,2196
Leeds 012,E02002341,2987,262,2725
Leeds 013,E02002342,2729,537,2192
Leeds 014,E02002343,2516,292,2224
Leeds 015,E02002344,3459,544,2915
Leeds 016,E02002345,2524,248,2276
Leeds 017,E02002346,2792,721,2071
Leeds 018,E02002347,2755,853,1902
Leeds 019,E02002348,2862,663,2199
Leeds 020,E02002349,2598,462,2136
Leeds 021,E02002350,2531,337,2194
Leeds 022,E02002351,2352,218,2134
Leeds 023,E02002352,3216,555,2661
Leeds 024,E02002353,2315,322,1993
Leeds 025,E02002354,3322,741,2581
Leeds 027,E02002356,3817,508,3309
Leeds 028,E02002357,3747,809,2938
Leeds 029,E02002358,3641,871,2770
Leeds 030,E02002359,2873,323,2550
Leeds 031,E02002360,3066,689,2377
Leeds 032,E02002361,2476,557,1919
Leeds 033,E02002362,3598,1252,2346
Leeds 034,E02002363,3396,724,2672
Leeds 035,E02002364,2780,1295,1485
Leeds 037,E02002366,2963,559,2404
Leeds 038,E02002367,2693,1112,1581
Leeds 039,E02002368,3717,512,3205
Leeds 040,E02002369,3229,1138,2091
Leeds 041,E02002370,3082,1114,1968
Leeds 042,E02002371,4380,1812,2568
Leeds 044,E02002373,2937,1021,1916
Leeds 045,E02002374,3132,1130,2002
Leeds 046,E02002375,2616,981,1635
Leeds 047,E02002376,2597,936,1661
Leeds 048,E02002377,2432,1168,1264
Leeds 050,E02002379,2358,921,1437
Leeds 051,E02002380,2524,666,1858
Leeds 052,E02002381,3015,755,2260
Leeds 053,E02002382,2406,1372,1034
Leeds 054,E02002383,2509,1084,1425
Leeds 055,E02002384,4512,2724,1788
Leeds 056,E02002385,3704,1696,2008
Leeds 057,E02002386,4253,901,3352
Leeds 058,E02002387,2720,1091,1629
Leeds 059,E02002388,3484,1209,2275
Leeds 060,E02002389,2986,1222,1764
Leeds 061,E02002390,3075,832,2243
Leeds 062,E02002391,3628,812,2816
Leeds 063,E02002392,2771,1687,1084
Leeds 064,E02002393,4011,2361,1650
Leeds 065,E02002394,3229,1887,1342
Leeds 066,E02002395,2770,427,2343
Leeds 067,E02002396,4086,1382,2704
Leeds 068,E02002397,3421,949,2472
Leeds 069,E02002398,3305,666,2639
Leeds 070,E02002399,2640,1039,1601
Leeds 071,E02002400,4253,2217,2036
Leeds 072,E02002401,2622,1098,1524
Leeds 073,E02002402,2495,314,2181
Leeds 074,E02002403,2792,639,2153
Leeds 075,E02002404,5255,2787,2468
Leeds 076,E02002405,3792,708,3084
Leeds 077,E02002406,3015,369,2646
Leeds 078,E02002407,2860,1297,1563
Leeds 079,E02002408,3428,804,2624
Leeds 080,E02002409,2693,746,1947
Leeds 081,E02002410,3158,969,2189
Leeds 082,E02002411,4307,2365,1942
Leeds 083,E02002412,3250,714,2536
Leeds 085,E02002414,2816,1478,1338
Leeds 086,E02002415,2717,1542,1175
Leeds 087,E02002416,3024,518,2506
Leeds 088,E02002417,3145,458,2687
Leeds 089,E02002418,3073,503,2570
Leeds 090,E02002419,3585,1471,2114
Leeds 091,E02002420,3320,1091,2229
Leeds 092,E02002421,2645,1238,1407
Leeds 093,E02002422,2817,466,2351
Leeds 094,E02002423,2459,895,1564
Leeds 095,E02002424,3292,671,2621
Leeds 096,E02002425,3842,604,3238
Leeds 097,E02002426,3335,534,2801
Leeds 098,E02002427,3029,734,2295
Leeds 099,E02002428,3416,912,2504
Leeds 100,E02002429,3655,615,3040
Leeds 101,E02002430,3242,1338,1904
Leeds 102,E02002431,3992,997,2995
Leeds 103,E02002432,3174,471,2703
Leeds 104,E02002433,3538,1240,2298
Leeds 105,E02002434,4104,540,3564
Leeds 106,E02002435,3638,610,3028
Leeds 107,E02002436,2988,571,2417
Leeds 108,E02002437,2521,218,2303
Leeds 109,E02006852,4932,1072,3860
Leeds 110,E02006861,4452,1935,2517
Leeds 111,E02006875,3744,2506,1238
Leeds 112,E02006876,3709,1733,1976
